trip_id,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,dpcapacity_start,to_station_id,dpcapacity_end
2355134,Male,2014-06-30 23:57:00,2014-07-01 00:07:00,10.066666666666666,68.0,tstorms,131,15.0,303,15.0
2355133,Male,2014-06-30 23:56:00,2014-07-01 00:00:00,4.383333333333334,68.0,tstorms,282,15.0,22,15.0
2355130,Male,2014-06-30 23:33:00,2014-06-30 23:35:00,2.1,68.0,tstorms,327,19.0,225,15.0
2355129,Female,2014-06-30 23:26:00,2014-07-01 00:24:00,58.01666666666666,68.0,tstorms,134,19.0,194,11.0
2355128,Female,2014-06-30 23:16:00,2014-06-30 23:26:00,10.633333333333333,68.0,tstorms,320,15.0,134,19.0
2355127,Male,2014-06-30 23:11:00,2014-06-30 23:17:00,5.6,68.0,tstorms,332,15.0,319,15.0
2355126,Male,2014-06-30 23:08:00,2014-06-30 23:13:00,5.066666666666666,68.0,tstorms,174,23.0,44,27.0
2355125,Male,2014-06-30 23:07:00,2014-06-30 23:16:00,8.75,68.0,tstorms,199,15.0,24,15.0
2355123,Male,2014-06-30 23:06:00,2014-06-30 23:09:00,2.783333333333333,68.0,tstorms,238,15.0,316,19.0
2355116,Male,2014-06-30 22:46:00,2014-06-30 22:51:00,4.833333333333333,68.0,tstorms,169,15.0,91,31.0
2355111,Male,2014-06-30 22:22:00,2014-06-30 22:27:00,5.466666666666668,68.0,tstorms,100,23.0,192,39.0
2355110,Female,2014-06-30 22:17:00,2014-06-30 22:22:00,5.4833333333333325,68.0,tstorms,267,15.0,322,15.0
2355106,Male,2014-06-30 22:14:00,2014-06-30 22:17:00,2.716666666666667,68.0,tstorms,50,27.0,49,27.0
2355100,Female,2014-06-30 22:04:00,2014-06-30 22:08:00,3.7666666666666666,68.0,tstorms,210,19.0,350,15.0
2355098,Female,2014-06-30 22:04:00,2014-06-30 22:24:00,20.483333333333334,68.0,tstorms,332,15.0,350,15.0
2355097,Male,2014-06-30 22:03:00,2014-06-30 22:10:00,6.916666666666668,68.0,tstorms,80,19.0,91,31.0
2355096,Male,2014-06-30 22:02:00,2014-06-30 22:13:00,11.233333333333333,68.0,tstorms,31,23.0,287,27.0
2355095,Female,2014-06-30 22:01:00,2014-06-30 22:29:00,27.5,68.0,tstorms,199,15.0,69,19.0
2355092,Male,2014-06-30 21:55:00,2014-06-30 21:59:00,4.15,70.0,tstorms,181,31.0,51,31.0
2355091,Male,2014-06-30 21:55:00,2014-06-30 22:01:00,5.633333333333334,70.0,tstorms,289,19.0,138,15.0
2355081,Female,2014-06-30 21:46:00,2014-06-30 21:54:00,8.116666666666667,70.0,tstorms,25,23.0,140,19.0
2355079,Male,2014-06-30 21:45:00,2014-06-30 21:56:00,10.85,70.0,tstorms,173,15.0,74,23.0
2355076,Male,2014-06-30 21:45:00,2014-06-30 21:48:00,2.816666666666667,70.0,tstorms,30,15.0,183,15.0
2355075,Male,2014-06-30 21:44:00,2014-06-30 22:07:00,22.33333333333333,70.0,tstorms,177,15.0,294,15.0
2355073,Male,2014-06-30 21:44:00,2014-06-30 22:02:00,18.116666666666667,70.0,tstorms,24,15.0,118,19.0
2355072,Male,2014-06-30 21:44:00,2014-06-30 21:53:00,9.2,70.0,tstorms,25,23.0,52,31.0
2355069,Male,2014-06-30 21:44:00,2014-06-30 21:51:00,7.05,70.0,tstorms,287,27.0,84,19.0
2355067,Male,2014-06-30 21:44:00,2014-06-30 21:46:00,2.1,70.0,tstorms,240,23.0,254,15.0
2355065,Male,2014-06-30 21:43:00,2014-06-30 21:50:00,6.4,70.0,tstorms,291,19.0,337,19.0
2355064,Male,2014-06-30 21:43:00,2014-06-30 22:00:00,17.633333333333333,70.0,tstorms,20,15.0,230,19.0
2355061,Female,2014-06-30 21:42:00,2014-06-30 21:57:00,15.1,70.0,tstorms,202,15.0,321,19.0
2355059,Male,2014-06-30 21:39:00,2014-06-30 21:55:00,15.783333333333333,70.0,tstorms,120,15.0,132,15.0
2355057,Male,2014-06-30 21:38:00,2014-06-30 21:43:00,4.266666666666667,70.0,tstorms,284,23.0,286,23.0
2355056,Male,2014-06-30 21:38:00,2014-06-30 21:52:00,13.866666666666667,70.0,tstorms,43,43.0,338,15.0
2355055,Male,2014-06-30 21:37:00,2014-06-30 21:45:00,7.566666666666666,70.0,tstorms,289,19.0,337,19.0
2355052,Male,2014-06-30 21:30:00,2014-06-30 21:32:00,2.0166666666666666,70.0,tstorms,141,23.0,289,19.0
2355050,Male,2014-06-30 21:29:00,2014-06-30 21:44:00,14.716666666666667,70.0,tstorms,26,31.0,177,15.0
2355049,Male,2014-06-30 21:29:00,2014-06-30 21:33:00,3.7666666666666666,70.0,tstorms,229,19.0,153,19.0
2355048,Female,2014-06-30 21:27:00,2014-06-30 21:40:00,13.366666666666667,70.0,tstorms,202,15.0,280,11.0
2355046,Male,2014-06-30 21:26:00,2014-06-30 21:42:00,16.05,70.0,tstorms,143,15.0,143,15.0
2355045,Male,2014-06-30 21:26:00,2014-06-30 21:48:00,21.86666666666667,70.0,tstorms,210,19.0,246,11.0
2355044,Female,2014-06-30 21:26:00,2014-06-30 21:37:00,10.5,70.0,tstorms,74,23.0,289,19.0
2355039,Male,2014-06-30 21:22:00,2014-06-30 21:39:00,17.316666666666666,70.0,tstorms,264,19.0,147,15.0
2355038,Male,2014-06-30 21:22:00,2014-06-30 21:29:00,7.45,70.0,tstorms,100,23.0,26,31.0
2355034,Male,2014-06-30 21:20:00,2014-06-30 21:31:00,11.633333333333333,70.0,tstorms,48,27.0,99,19.0
2355018,Male,2014-06-30 21:16:00,2014-06-30 21:24:00,7.7333333333333325,70.0,tstorms,67,15.0,117,23.0
2355013,Male,2014-06-30 21:14:00,2014-06-30 21:18:00,3.95,70.0,tstorms,324,15.0,332,15.0
2355011,Male,2014-06-30 21:14:00,2014-06-30 21:32:00,17.983333333333334,70.0,tstorms,88,15.0,27,19.0
2355004,Female,2014-06-30 21:12:00,2014-06-30 21:21:00,8.75,70.0,tstorms,52,31.0,255,31.0
2355000,Male,2014-06-30 21:11:00,2014-06-30 21:26:00,14.966666666666667,70.0,tstorms,71,15.0,130,15.0
2354996,Female,2014-06-30 21:10:00,2014-06-30 21:15:00,4.683333333333334,70.0,tstorms,36,31.0,100,23.0
2354995,Male,2014-06-30 21:10:00,2014-06-30 21:14:00,4.05,70.0,tstorms,36,31.0,77,23.0
2354992,Male,2014-06-30 21:09:00,2014-06-30 21:19:00,10.3,70.0,tstorms,106,27.0,174,23.0
2354972,Male,2014-06-30 21:04:00,2014-06-30 21:09:00,4.316666666666666,70.0,tstorms,340,15.0,302,19.0
2354970,Male,2014-06-30 21:04:00,2014-06-30 21:09:00,4.45,70.0,tstorms,67,15.0,340,15.0
2354964,Female,2014-06-30 21:03:00,2014-06-30 21:11:00,8.216666666666667,70.0,tstorms,116,15.0,130,15.0
2354962,Male,2014-06-30 21:02:00,2014-06-30 21:15:00,12.4,70.0,tstorms,44,27.0,126,15.0
2354946,Male,2014-06-30 21:00:00,2014-06-30 21:05:00,4.583333333333333,70.0,tstorms,98,15.0,192,39.0
2354942,Male,2014-06-30 21:00:00,2014-06-30 21:04:00,4.116666666666666,70.0,tstorms,174,23.0,134,19.0
2354939,Male,2014-06-30 20:59:00,2014-06-30 21:08:00,9.183333333333334,70.0,rain or snow,42,15.0,237,15.0
2354910,Male,2014-06-30 20:53:00,2014-06-30 21:05:00,12.15,70.0,rain or snow,55,15.0,273,15.0
2354897,Female,2014-06-30 20:45:00,2014-06-30 20:49:00,3.4166666666666665,70.0,rain or snow,325,15.0,295,15.0
2354893,Female,2014-06-30 20:48:00,2014-06-30 20:52:00,3.95,70.0,rain or snow,115,23.0,13,19.0
2354892,Female,2014-06-30 20:48:00,2014-06-30 20:52:00,4.2,70.0,rain or snow,267,15.0,252,15.0
2354887,Male,2014-06-30 20:48:00,2014-06-30 20:55:00,7.4833333333333325,70.0,rain or snow,49,27.0,233,15.0
2354886,Male,2014-06-30 20:48:00,2014-06-30 21:00:00,12.183333333333335,70.0,rain or snow,288,11.0,69,19.0
2354876,Male,2014-06-30 20:45:00,2014-06-30 20:48:00,3.2333333333333334,70.0,rain or snow,98,15.0,44,27.0
2354875,Male,2014-06-30 20:45:00,2014-06-30 20:47:00,2.066666666666667,70.0,rain or snow,113,15.0,327,19.0
2354874,Female,2014-06-30 20:45:00,2014-06-30 20:57:00,12.266666666666667,70.0,rain or snow,211,19.0,94,19.0
2354873,Male,2014-06-30 20:44:00,2014-06-30 20:56:00,11.2,70.0,rain or snow,243,15.0,231,15.0
2354869,Male,2014-06-30 20:44:00,2014-06-30 20:54:00,9.883333333333333,70.0,rain or snow,283,23.0,36,31.0
2354868,Male,2014-06-30 20:44:00,2014-06-30 20:54:00,10.083333333333334,70.0,rain or snow,283,23.0,36,31.0
2354862,Female,2014-06-30 20:42:00,2014-06-30 20:48:00,5.166666666666667,70.0,rain or snow,156,15.0,340,15.0
2354857,Male,2014-06-30 20:42:00,2014-06-30 20:53:00,11.383333333333333,70.0,rain or snow,94,19.0,94,19.0
2354854,Male,2014-06-30 20:41:00,2014-06-30 21:01:00,20.35,70.0,rain or snow,134,19.0,129,15.0
2354846,Female,2014-06-30 20:38:00,2014-06-30 20:44:00,6.633333333333334,70.0,rain or snow,296,15.0,226,15.0
2354845,Male,2014-06-30 20:36:00,2014-06-30 20:48:00,11.316666666666665,70.0,rain or snow,212,31.0,301,19.0
